Question,SQL,Result,User_info
What are the names of all departments and the number of lecturers in each department?,"SELECT
    D.dep_name,
    COUNT(L.lecturer_id) AS number_of_lecturers
FROM Departments AS D
LEFT JOIN Lecturers AS L
    ON D.dep_id = L.dep_id
GROUP BY
    D.dep_name;","[
    {
        ""dep_name"": ""Artificial Intelligence"",
        ""number_of_lecturers"": 3
    },
    {
        ""dep_name"": ""Computing Fundamental"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Information Assurance"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Software Engineering"",
        ""number_of_lecturers"": 3
    }
]","Role: Training Manager, ID: TM001"
Could you please list the names of all courses that lecturer LEC001 is assigned to teach?,"SELECT DISTINCT
    C.course_name
FROM ClassCourse AS CC
JOIN Courses AS C
    ON CC.course_id = C.course_id
WHERE
    CC.lecturer_id = 'LEC001';","[
    {
        ""course_name"": ""Information Assurance and Security""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    },
    {
        ""course_name"": ""Theory of Computation""
    }
]","Role: Lecturer, ID: LEC001"
"Could you please show me the courses I'm currently studying in the SU24 semester, along with the names of the lecturers teaching them?","SELECT
    C.course_name,
    U.fullname
FROM Enrollments AS E
JOIN Students AS ST
    ON E.student_id = ST.student_id
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
JOIN Lecturers AS L
    ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
    ON L.lecturer_id = U.user_id
WHERE
    ST.student_id = 'HE00001'
    AND CC.semester = 'SU24'
    AND E.status = 'Studying';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung""
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh""
    }
]","Role: Student, ID: HE00001"
"Can you show me the courses I'm currently studying, along with their average grades and statuses?","SELECT
    C.course_name,
    E.average,
    E.status
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
WHERE
    E.student_id = 'HE00001'
    AND E.status = 'Studying';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""average"": 0.0,
        ""status"": ""Studying""
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""average"": 0.0,
        ""status"": ""Studying""
    }
]","Role: Student, ID: HE00001"
"Could you provide a list of all courses, including their names, number of credits, and descriptions?","SELECT
    course_id,
    course_name,
    no_credit,
    description
FROM
    Courses;","[
    {
        ""course_id"": ""AIE303"",
        ""course_name"": ""AI Ethics and Society"",
        ""no_credit"": 3,
        ""description"": ""Ethical considerations and societal impact of AI technologies.""
    },
    {
        ""course_id"": ""AIL301"",
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""no_credit"": 3,
        ""description"": ""Core concepts of AI and machine learning algorithms.""
    },
    {
        ""course_id"": ""AIV304"",
        ""course_name"": ""AI in Vision"",
        ""no_credit"": 3,
        ""description"": ""Application of AI techniques in computer vision tasks.""
    },
    {
        ""course_id"": ""CNW203"",
        ""course_name"": ""Computer Networks"",
        ""no_credit"": 3,
        ""description"": ""Fundamentals of computer networking, protocols, and architectures.""
    },
    {
        ""course_id"": ""CRY303"",
        ""course_name"": ""Cryptography"",
        ""no_credit"": 3,
        ""description"": ""Foundations of cryptographic algorithms and protocols.""
    },
    {
        ""course_id"": ""CSD201"",
        ""course_name"": ""Data Structures and Algorithms"",
        ""no_credit"": 3,
        ""description"": ""Study of fundamental data structures and algorithmic techniques.""
    },
    {
        ""course_id"": ""DBI202"",
        ""course_name"": ""Database Systems"",
        ""no_credit"": 3,
        ""description"": ""Fundamentals of database design, modeling, and SQL.""
    },
    {
        ""course_id"": ""IAS301"",
        ""course_name"": ""Information Assurance and Security"",
        ""no_credit"": 3,
        ""description"": ""Principles of information assurance, risk management, and security policies.""
    },
    {
        ""course_id"": ""ISS304"",
        ""course_name"": ""Information Security Systems"",
        ""no_credit"": 3,
        ""description"": ""Design and implementation of secure information systems.""
    },
    {
        ""course_id"": ""MAD101"",
        ""course_name"": ""Mathematics for Developers"",
        ""no_credit"": 3,
        ""description"": ""Essential mathematical concepts for software development.""
    },
    {
        ""course_id"": ""NET302"",
        ""course_name"": ""Network Security"",
        ""no_credit"": 3,
        ""description"": ""Techniques for securing computer networks and communications.""
    },
    {
        ""course_id"": ""NLP302"",
        ""course_name"": ""Natural Language Processing"",
        ""no_credit"": 3,
        ""description"": ""Techniques for enabling computers to process and understand human language.""
    },
    {
        ""course_id"": ""OSG202"",
        ""course_name"": ""Operating Systems"",
        ""no_credit"": 3,
        ""description"": ""Principles of operating system design and implementation.""
    },
    {
        ""course_id"": ""PPL204"",
        ""course_name"": ""Programming Paradigms"",
        ""no_credit"": 3,
        ""description"": ""Exploration of different programming language paradigms.""
    },
    {
        ""course_id"": ""PRF192"",
        ""course_name"": ""Programming Fundamentals"",
        ""no_credit"": 3,
        ""description"": ""Introduction to basic programming concepts and problem-solving.""
    },
    {
        ""course_id"": ""PRJ302"",
        ""course_name"": ""Software Project Management"",
        ""no_credit"": 3,
        ""description"": ""Managing software development projects, including planning and execution.""
    },
    {
        ""course_id"": ""SDE303"",
        ""course_name"": ""Software Design and Architecture"",
        ""no_credit"": 3,
        ""description"": ""Principles of software design patterns and architectural styles.""
    },
    {
        ""course_id"": ""SWE301"",
        ""course_name"": ""Software Engineering Principles"",
        ""no_credit"": 3,
        ""description"": ""Fundamental principles and practices of software engineering.""
    },
    {
        ""course_id"": ""SWT304"",
        ""course_name"": ""Software Testing and Quality Assurance"",
        ""no_credit"": 3,
        ""description"": ""Methods for software testing, verification, and validation.""
    },
    {
        ""course_id"": ""TOC201"",
        ""course_name"": ""Theory of Computation"",
        ""no_credit"": 3,
        ""description"": ""Formal languages, automata theory, and computability.""
    }
]","Role: Training Manager, ID: TM001"
"Could you please provide a list of all courses, including their names, number of credits, and descriptions?","SELECT
    course_id,
    course_name,
    no_credit,
    description
FROM
    Courses;","[
    {
        ""course_id"": ""AIE303"",
        ""course_name"": ""AI Ethics and Society"",
        ""no_credit"": 3,
        ""description"": ""Ethical considerations and societal impact of AI technologies.""
    },
    {
        ""course_id"": ""AIL301"",
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""no_credit"": 3,
        ""description"": ""Core concepts of AI and machine learning algorithms.""
    },
    {
        ""course_id"": ""AIV304"",
        ""course_name"": ""AI in Vision"",
        ""no_credit"": 3,
        ""description"": ""Application of AI techniques in computer vision tasks.""
    },
    {
        ""course_id"": ""CNW203"",
        ""course_name"": ""Computer Networks"",
        ""no_credit"": 3,
        ""description"": ""Fundamentals of computer networking, protocols, and architectures.""
    },
    {
        ""course_id"": ""CRY303"",
        ""course_name"": ""Cryptography"",
        ""no_credit"": 3,
        ""description"": ""Foundations of cryptographic algorithms and protocols.""
    },
    {
        ""course_id"": ""CSD201"",
        ""course_name"": ""Data Structures and Algorithms"",
        ""no_credit"": 3,
        ""description"": ""Study of fundamental data structures and algorithmic techniques.""
    },
    {
        ""course_id"": ""DBI202"",
        ""course_name"": ""Database Systems"",
        ""no_credit"": 3,
        ""description"": ""Fundamentals of database design, modeling, and SQL.""
    },
    {
        ""course_id"": ""IAS301"",
        ""course_name"": ""Information Assurance and Security"",
        ""no_credit"": 3,
        ""description"": ""Principles of information assurance, risk management, and security policies.""
    },
    {
        ""course_id"": ""ISS304"",
        ""course_name"": ""Information Security Systems"",
        ""no_credit"": 3,
        ""description"": ""Design and implementation of secure information systems.""
    },
    {
        ""course_id"": ""MAD101"",
        ""course_name"": ""Mathematics for Developers"",
        ""no_credit"": 3,
        ""description"": ""Essential mathematical concepts for software development.""
    },
    {
        ""course_id"": ""NET302"",
        ""course_name"": ""Network Security"",
        ""no_credit"": 3,
        ""description"": ""Techniques for securing computer networks and communications.""
    },
    {
        ""course_id"": ""NLP302"",
        ""course_name"": ""Natural Language Processing"",
        ""no_credit"": 3,
        ""description"": ""Techniques for enabling computers to process and understand human language.""
    },
    {
        ""course_id"": ""OSG202"",
        ""course_name"": ""Operating Systems"",
        ""no_credit"": 3,
        ""description"": ""Principles of operating system design and implementation.""
    },
    {
        ""course_id"": ""PPL204"",
        ""course_name"": ""Programming Paradigms"",
        ""no_credit"": 3,
        ""description"": ""Exploration of different programming language paradigms.""
    },
    {
        ""course_id"": ""PRF192"",
        ""course_name"": ""Programming Fundamentals"",
        ""no_credit"": 3,
        ""description"": ""Introduction to basic programming concepts and problem-solving.""
    },
    {
        ""course_id"": ""PRJ302"",
        ""course_name"": ""Software Project Management"",
        ""no_credit"": 3,
        ""description"": ""Managing software development projects, including planning and execution.""
    },
    {
        ""course_id"": ""SDE303"",
        ""course_name"": ""Software Design and Architecture"",
        ""no_credit"": 3,
        ""description"": ""Principles of software design patterns and architectural styles.""
    },
    {
        ""course_id"": ""SWE301"",
        ""course_name"": ""Software Engineering Principles"",
        ""no_credit"": 3,
        ""description"": ""Fundamental principles and practices of software engineering.""
    },
    {
        ""course_id"": ""SWT304"",
        ""course_name"": ""Software Testing and Quality Assurance"",
        ""no_credit"": 3,
        ""description"": ""Methods for software testing, verification, and validation.""
    },
    {
        ""course_id"": ""TOC201"",
        ""course_name"": ""Theory of Computation"",
        ""no_credit"": 3,
        ""description"": ""Formal languages, automata theory, and computability.""
    }
]","Role: Training Manager, ID: TM001"
"Could you provide a list of all courses, including their names, descriptions, and credit numbers?","SELECT
    course_id,
    course_name,
    description,
    no_credit
FROM
    Courses;","[
    {
        ""course_id"": ""AIE303"",
        ""course_name"": ""AI Ethics and Society"",
        ""description"": ""Ethical considerations and societal impact of AI technologies."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""AIL301"",
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""description"": ""Core concepts of AI and machine learning algorithms."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""AIV304"",
        ""course_name"": ""AI in Vision"",
        ""description"": ""Application of AI techniques in computer vision tasks."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""CNW203"",
        ""course_name"": ""Computer Networks"",
        ""description"": ""Fundamentals of computer networking, protocols, and architectures."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""CRY303"",
        ""course_name"": ""Cryptography"",
        ""description"": ""Foundations of cryptographic algorithms and protocols."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""CSD201"",
        ""course_name"": ""Data Structures and Algorithms"",
        ""description"": ""Study of fundamental data structures and algorithmic techniques."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""DBI202"",
        ""course_name"": ""Database Systems"",
        ""description"": ""Fundamentals of database design, modeling, and SQL."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""IAS301"",
        ""course_name"": ""Information Assurance and Security"",
        ""description"": ""Principles of information assurance, risk management, and security policies."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""ISS304"",
        ""course_name"": ""Information Security Systems"",
        ""description"": ""Design and implementation of secure information systems."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""MAD101"",
        ""course_name"": ""Mathematics for Developers"",
        ""description"": ""Essential mathematical concepts for software development."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""NET302"",
        ""course_name"": ""Network Security"",
        ""description"": ""Techniques for securing computer networks and communications."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""NLP302"",
        ""course_name"": ""Natural Language Processing"",
        ""description"": ""Techniques for enabling computers to process and understand human language."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""OSG202"",
        ""course_name"": ""Operating Systems"",
        ""description"": ""Principles of operating system design and implementation."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""PPL204"",
        ""course_name"": ""Programming Paradigms"",
        ""description"": ""Exploration of different programming language paradigms."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""PRF192"",
        ""course_name"": ""Programming Fundamentals"",
        ""description"": ""Introduction to basic programming concepts and problem-solving."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""PRJ302"",
        ""course_name"": ""Software Project Management"",
        ""description"": ""Managing software development projects, including planning and execution."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""SDE303"",
        ""course_name"": ""Software Design and Architecture"",
        ""description"": ""Principles of software design patterns and architectural styles."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""SWE301"",
        ""course_name"": ""Software Engineering Principles"",
        ""description"": ""Fundamental principles and practices of software engineering."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""SWT304"",
        ""course_name"": ""Software Testing and Quality Assurance"",
        ""description"": ""Methods for software testing, verification, and validation."",
        ""no_credit"": 3
    },
    {
        ""course_id"": ""TOC201"",
        ""course_name"": ""Theory of Computation"",
        ""description"": ""Formal languages, automata theory, and computability."",
        ""no_credit"": 3
    }
]","Role: Training Manager, ID: TM001"
"Can you show me the courses I am currently studying, along with the names of the lecturers teaching those courses?","SELECT
    C.course_name,
    U.fullname
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
JOIN Lecturers AS L
    ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
    ON U.user_id = L.lecturer_id
WHERE
    E.student_id = 'HE00001'
    AND E.status = 'Studying';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung""
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh""
    }
]","Role: Student, ID: HE00001"
"Could you show me the courses I am currently studying, along with their lecturers' full names?","SELECT
    C.course_name,
    U.fullname
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
JOIN Lecturers AS L
    ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
    ON L.lecturer_id = U.user_id
WHERE
    E.student_id = 'HE00001'
    AND E.status = 'Studying';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung""
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh""
    }
]","Role: Student, ID: HE00001"
"Can you show me the courses I am currently studying, along with the names of the lecturers teaching them?","SELECT
    C.course_name,
    U.fullname
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
JOIN Lecturers AS L
    ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
    ON L.lecturer_id = U.user_id
WHERE
    E.student_id = 'HE00001'
    AND E.status = 'Studying';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung""
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh""
    }
]","Role: Student, ID: HE00001"
